INFO 2025-04-21 23:45:56,764 autoreload 7 281473358053408 Watching for file changes with StatReloader
INFO 2025-04-21 23:47:13,967 basehttp 7 281473275982240 "GET /admin HTTP/1.1" 301 0
INFO 2025-04-21 23:47:13,996 basehttp 7 281473265496480 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-04-21 23:47:14,013 basehttp 7 281473265496480 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4214
INFO 2025-04-21 23:47:14,495 basehttp 7 281473255010720 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-04-21 23:47:14,498 basehttp 7 281473162736032 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-04-21 23:47:14,501 basehttp 7 281473244524960 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-04-21 23:47:14,503 basehttp 7 281473255010720 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-04-21 23:47:14,503 basehttp 7 281473265496480 "GET /static/admin/css/base.css HTTP/1.1" 200 21310
INFO 2025-04-21 23:47:14,504 basehttp 7 281473275982240 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-04-21 23:47:14,505 basehttp 7 281473152250272 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
WARNING 2025-04-21 23:47:14,787 log 7 281473152250272 Not Found: /favicon.ico
WARNING 2025-04-21 23:47:14,790 basehttp 7 281473152250272 "GET /favicon.ico HTTP/1.1" 404 2222
INFO 2025-04-21 23:47:19,467 basehttp 7 281473152250272 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-04-21 23:47:19,486 basehttp 7 281473152250272 "GET /admin/ HTTP/1.1" 200 13871
INFO 2025-04-21 23:47:19,505 basehttp 7 281473152250272 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-04-21 23:47:19,508 basehttp 7 281473255010720 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-04-21 23:47:19,509 basehttp 7 281473152250272 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-04-21 23:47:22,415 basehttp 7 281473152250272 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-04-21 23:47:22,428 basehttp 7 281473152250272 "GET /admin/ HTTP/1.1" 200 13871
INFO 2025-04-21 23:47:28,361 basehttp 7 281473152250272 "GET /admin/core/cliente/ HTTP/1.1" 200 13295
INFO 2025-04-21 23:47:28,396 basehttp 7 281473152250272 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2025-04-21 23:47:28,399 basehttp 7 281473152250272 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-04-21 23:47:28,399 basehttp 7 281473162736032 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-04-21 23:47:28,400 basehttp 7 281473244524960 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
INFO 2025-04-21 23:47:28,404 basehttp 7 281473152250272 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-04-21 23:47:28,404 basehttp 7 281473141764512 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-04-21 23:47:28,410 basehttp 7 281473162736032 "GET /static/admin/css/base.css HTTP/1.1" 304 0
